postal_code	city	street	house_number	x	y	country
1060	Caracas	Av. Tamanaco	El Rosal	-66.86357295773476	10.490246422074536	VE
1060	Caracas	Av. Tamanaco	T-1	-66.8639748	10.4902995	VE
1060	Caracas	Av. Venezuela	1	-66.8601613	10.4902125	VE
1060	Caracas	Avenida Blandín	VAE	-66.853124	10.4977643	VE
1060	Caracas	Los Chaguaramos	1	-66.8537142	10.4984645	VE
1060	Caracas	Los Chaguaramos	1	-66.8534116	10.4984743	VE
1061	Caracas	Av. Araure	719	-66.84253959597858	10.48192517027637	VE
1061	Caracas	Av. Principal de El Cafetal	Ave.	-66.84001327949207	10.475512225441834	VE
1061	Caracas	Roraima	1	-66.8437829	10.4829664	VE
1071	Caracas	Av. B de La Carlota	"v. ""A"" Edf. Central Piso PB, Local 4"	-66.8335479	10.4929562	VE
1071	Caracas	Av. El Rosario	35	-66.82133400000001	10.50216245	VE
1071	Caracas	Av. Francisco de Miranda	407	-66.82761240481773	10.489562061264781	VE
1071	Caracas	Av. Francisco de Miranda	407	-66.82686339474655	10.489026027964771	VE
1071	Caracas	Av. Principal de La Carlota	202	-66.83242063434653	10.493035845329521	VE
1071	Caracas	Av. Principal de Montecristo	07	-66.82719680634514	10.495853127879416	VE
1071	Caracas	Av. Principal de Montecristo	43	-66.82666655	10.497819999999999	VE
1071	Caracas	Av. Principal de Montecristo	43	-66.826649	10.4978244	VE
1071	Caracas	Caminería del Parque	10	-66.83936124542932	10.489436356526607	VE
1071	Caracas	El Leòn	1	-66.8374233	10.49867	VE
1071	Caracas	El Leòn	1	-66.8373152	10.5005149	VE
1071	Caracas	Vargas	17	-66.82030820571067	10.49707588979824	VE
1073	Caracas	Avenida Corozo	D-1	-66.8281859185899	10.473772316029892	VE
1073	Caracas	Avenida Rómulo Gallegos	edificio exagon	-66.8088474	10.4944872	VE
1073	Caracas	Avenida Rómulo Gallegos	piso 5	-66.8088764	10.4944836	VE
1073	Caracas	Avenida Rómulo Gallegos	piso 5	-66.8088358	10.4944683	VE
1073	Caracas	Calle Sur	1-A	-66.7238145	10.4630784	VE
1073	Caracas	Calle Urimán	Quinta Rochamonru	-66.80849605926252	10.496833972648142	VE
1073	Caracas	Calle Urumaco	Quinta Jorbeth	-66.808367107991	10.496695696156367	VE
1073	Caracas	Calle Urumaco	Quinta Nelly	-66.80835267710248	10.496827694918123	VE
1073	Caracas	Centro Sur	Avenida	-66.72598485866575	10.463235960451865	VE
1080	Caracas	Altagracia	1	-66.85863690825808	10.430664727316968	VE
1080	Caracas	Altagracia	2	-66.85874461781644	10.430689565871706	VE
1080	Caracas	Altagracia	3	-66.85885684115705	10.430706822449705	VE
1080	Caracas	Altagracia	4	-66.85896694049204	10.430723522329885	VE
1080	Caracas	Altagracia	5	-66.8590733	10.430740150000002	VE
1080	Caracas	Altagracia	7	-66.85916252485951	10.430908982001254	VE
1080	Caracas	Av. Caurimare	24-20	-66.8765008485267	10.484801800753187	VE
1080	Caracas	Av. El Parque	5603	-66.88184468324752	10.443530749551371	VE
1080	Caracas	Av. González Rincones	153	-66.86249862619196	10.434308800371682	VE
1080	Caracas	Av. Guevara Rojas	10	-66.86659962758658	10.465251091619981	VE
1080	Caracas	Av. Las Lomas	1	-66.8653652	10.482245	VE
1080	Caracas	Av. Nicolás Copérnico	355	-66.8613730861715	10.479978516961166	VE
1080	Caracas	Av. Orinoco	1	-66.86478789466474	10.482722432421863	VE
1080	Caracas	Av. Orinoco	448	-66.86368345	10.481400300000002	VE
1080	Caracas	Av. Orinoco	453	-66.86300073731432	10.480775691022252	VE
1080	Caracas	Avenida Altagracia	6	-66.85918985000002	10.430759199999999	VE
1080	Caracas	Avenida Orinoco	Torre UNO	-66.8601605	10.4790242	VE
